,v1,v2
1166,0,number sir
1167,0,lol i'm hot air balloon!
1168,0,ok . . bus. . come soon come otherwise tomorrow
1169,0,msgs r time pass.they silently say thinking u right also making u think least 4 moment. gd nt.swt drms @shesil
1170,0,"yeah, probably swing roommate finishes girl"
1171,1,"got takes 2 take part wrc rally oz? u lucozade energy! text rally le 61200 (25p), see packs lucozade.co.uk/wrc & itcould u!"
1172,0,happy new years melody!
1173,0,ìï dun need pick ur gf?
1174,0,yay! better told 5 girls either.
1175,0,horrible u eat macs eat u forgot abt already rite... u take long 2 reply. thk toot b4 b prepared. wat shall eat?
1176,0,"say fantastic chance, anything need bigger life lift losing 2 live, think would first person 2 die n v q?"
1177,0,nw came hme da..
1178,0,"i'm outside islands, head towards hard rock run"
1179,0,day class class.
1180,0,i'm chennai velachery:)
1181,0,flippin shit yet?
1182,0,"k give sec, breaking &lt;#&gt; cstor"
1183,0,much bad avoid like this?
1184,0,"yo, around? got car back"
1185,0,annoying it.
1186,0,"goodmorning, today late &lt;#&gt; min."
1187,0,there's point hangin mr right he's makin u happi
1188,0,come alive.better correct good looking figure itself..
1189,0,case guess i'll see campus lodg
1190,0,we're done...
1191,0,come home one last time wont anything. trust me.
1192,0,night worrying appt. shame missed girls night quizzes popcorn hair.
1193,1,sex ur mobile free sexy pic jordan! text babe 88600. every wk get sexy celeb! pocketbabe.co.uk 4 pics. 16 å£3/wk 087016248
1194,0,ok... c ya...
1195,1,1 new voicemail. please call 08719181503
1196,0,said matter. mind saying matter there.
1197,0,also knows lunch menu da. . know
1198,0,"al moan n e thin goes wrong fault&al de arguments r fault&fed himso bother? hav 2go, thanx.xx"
1199,0,neft transaction reference number &lt;#&gt; rs. &lt;decimal&gt; credited beneficiary account &lt;#&gt; &lt;time&gt; : &lt;#&gt;
1200,0,otherwise part time job na-tuition..
1201,0,know cal
1202,0,"also da, feel yesterday night wait til 2day night dear."
1203,0,thanks understanding. i've trying tell sura that.
1204,1,win year supply cds 4 store ur choice worth å£500 & enter å£100 weekly draw txt music 87066 ts&cs www.ldew.com.subs16+1win150ppmx3
1205,0,whole car appreciated last two! dad map reading semi argument apart things going ok. p.
1206,1,"sim subscriber, selected receive bonus! get delivered door, txt word ok no: 88600 claim. 150p/msg, exp. 30apr"
1207,0,need strong arms...
1208,0,also maaaan miss
1209,0,bday real april .
1210,0,guessin ain't gonna 9?
1211,0,ok come ur home half hour
1212,0,"yo, game almost over? want go walmart soon"
1213,0,"yeah, probably sure. ilol let u know, personally wuldnt bother, ur goin mite well!!"
1214,0,i'll text now! creepy like think forgot
1215,0,"would good û_ i'll phone tomo lunchtime, shall i, organise something?"
1216,1,1 new voicemail. please call 08719181513.
1217,0,"damn, make tonight want wait til tomorrow"
1218,0,k..k..i'm also fine:)when complete course?
1219,0,"true. passable. get high score apply phd, get 5years salary. makes life easier."
1220,1,no. 1 nokia tone 4 ur mob every week! txt nok 87021. 1st tone free ! get txtin tell ur friends. 150p/tone. 16 reply hl 4info
1221,0,prakesh know.
1222,0,teach apps da. come college.
1223,0,rofl betta invest anti aging product
1224,1,winner u specially selected 2 receive å£1000 cash 4* holiday (flights inc) speak live operator 2 claim 0871277810810
1225,0,"sir, receive account another 1hr time. sorry delay."
1226,1,reply name address receive post weeks completely free accommodation various global locations www.phb1.com ph:08700435505150p
1227,0,ì_'ll submitting da project tmr rite?
1228,1,free entry å£250 weekly comp send word enter 84128 now. 18 t&c www.textcomp.com cust care 08712405020.
1229,0,jus ans lar. u'll noe later.
1230,0,want send something sell fast. &lt;#&gt; k easy money.
1231,0,got * things do. may * pub later.
1232,0,1's finish meeting call me.
1233,0,lol ok. i'll snatch purse too.
1234,0,"\hello-/@drivby-:0quit edrunk sorry iff pthis makes senrd-dnot ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\"""""
1235,0,opinion me? 1. 2. jada 3. kusruthi 4. lovable 5. silent 6. spl character 7. matured 8. stylish 9. simple pls reply..
1236,0,much getting?
1237,0,ur paper e morn aft tmr?
1238,0,"dear relieved westonzoyland, going plan end too!"
1239,0,hope great new semester. wish best. made greatness.
1240,0,oh yes speak txt 2 u no! hmm. u get email?
1241,0,"want show world, princess :) europe?"
1242,0,nobody decide eat dad wants chines
1243,0,shoot me. i'm docs waiting room. :/
1244,0,now? i'm going 4 dinner soon..
1245,0,hello site download songs urgent pl
1246,0,"know u mean, king havin credit! i'm goin2bed now. night night sweet! only1more sleep!"
1247,0,horrible gal. sch stuff. come u got mc?
1248,0,"hi hun! im comin 2nite-tell every1 im sorry 4 me, hope u ava goodtime!oli rang melnite ifink mite b sorted,but il explain everythin mon.l8rs.x"
1249,0,"call later, network. urgnt, sms me."
1250,0,ummmmmaah many many happy returns day dear sweet heart.. happy birthday dear
1251,1,please call 08712402779 immediately urgent message wait
1252,0,yeah like goes like friends imma flip shit like half hour
1253,0,mum say wan go go... shun bian watch da glass exhibition...
1254,0,plan pongal?
1255,0,wait till end march el nino gets himself. oh.
1256,0,"yet chikku..going room nw, i'm bus.."
1257,0,also cbe only. pay.
1258,0,honey boo i'm missing u.
1259,0,"sent jd customer service cum accounts executive ur mail id, details contact u"
1260,0,"yo, i'm parents' gettin cash. good news: picked downstem"
1261,0,"thank much. skyped wit kz sura, didnt get pleasure company. hope good. we've given ultimatum oh! countin aburo. enjoy!"
1262,1,"hungry gay guys feeling hungry 4 it, now. call 08718730555 10p/min. stop texts call 08712460324 (10p/min)"
1263,0,ok. wahala. remember friend need ...
1264,0,see half hour
1265,0,"im inperialmusic listening2the weirdest track ever byåóleafcutter johnåó-sounds like insects molested&someone plumbing,remixed evil men acid!"
1266,0,\hey sorry didntgive ya bellearlier hunni
1267,0,seriously. tell exact words right now.
1268,1,u get 2 phone now? wanna chat 2 set meet call 09096102316 u cum 2moro luv jane xx callså£1/minmoremobsemspobox45po139wa
1269,0,"tee hee. lecture, cheery bye bye."
1270,0,"sorry chikku, cell got problem thts nt able reply u msg u.."
1271,0,still havent collected dough pls let know go place sent get control numb
1272,0,ok...
1273,1,network operator. service free. & c's visit 80488.biz
1274,0,let know contact you. i've settled room. lets know ok.
1275,0,wot u 2 u weirdo?
1276,0,lor...
1277,0,dont put phone silent mode ok
1278,0,meet ì_ 5.. 4 depends ì_ wan 2 lor..
1279,0,waiting 4 tv show 2 start lor... u leh still busy ur report?
1280,0,oh ho. first time u use type word
1281,0,one stalk profiles?
1282,0,"ever green quote ever told jerry cartoon \a person irritates u always one loves u vry much fails express it...!..!! :-) :-) gud nyt"""
1283,0,yes thought so. thanks.
1284,0,she.s drinkin i'm ok.
1285,0,"wondering, others took"
1286,0,"night ended another day, morning come special way. may smile like sunny rays leaves worries blue blue bay. gud mrng"
1287,0,"do, dog ? must always wait till end day word ? run time cell already?"
1288,0,happy new year u too!
1289,0,"hey...great deal...farm tour 9am 5pm $95/pax, $50 deposit 16 may"
1290,0,eat jap done oso aft ur lect wat... ìï got lect 12 rite...
1291,0,"hey babe! saw came online second disappeared, happened ?"
1292,0,da birthdate certificate april real date today. dont publish it. shall give special treat keep secret. way thanks wish
1293,0,happy birthday... may ur dreams come true...
1294,0,aiyah u ok already lar. e nydc wheellock?
1295,0,tell said eat shit.
1296,0,sure! driving reach destination soon.
1297,0,"k i, much 8th? fifty?"
1298,0,daily text ûò favour tim
1299,0,great hear settling well. what's happenin wit ola?
1300,0,cocksuckers. makes feel better ipads worthless garbage novelty items feel bad even wanting on
1301,0,tot u reach liao. said t-shirt.
1302,0,"fran decided 2 go n e way im completely broke knackered got bout 3 c u 2mrw love janx p.s dads fone, -no credit"
1303,0,cant pick phone right now. pls send messag
1304,0,right! i'll make appointment right now.
1305,0,designation software developer may get chennai:)
1306,1,enjoy jamster videosound gold club credits 2 new videosounds+2 logos+musicnews! get fun jamster.co.uk! 16+only help? call: 09701213186
1307,1,"get 3 lions england tone, reply lionm 4 mono lionp 4 poly. 4 go 2 www.ringtones.co.uk, original n best. tones 3gbp network operator rates appli"
1308,0,jokin oni lar.. ìï busy wun disturb ì_.
1309,0,"ok, careful ! text drive !"
1310,0,"i.ll always there, even spirit. i.ll get bb soon. trying sure need it."
1311,0,u r much close heart. u go away shattered. plz stay me.
1312,0,love u 2 babe! r u sure everything alrite. idiot? txt bak girli
1313,0,abt making pics bigger?
1314,0,got got 2 colours lor. one colour quite light n e darker lor. actually i'm done styling hair now.
1315,0,"whenevr ur sad, whenevr ur gray, remembr im 2 listn 2 watevr u wanna say, jus walk wid little while,&amp; promise i'll bring back ur smile.:-)"
1316,0,nothing. ok anyway give treat
1317,1,"win newest ûïharry potter order phoenix (book 5) reply harry, answer 5 questions - chance first among readers!"
1318,0,ok...
1319,0,correct. work today
1320,0,"sent again. scream moan bed, princess?"
1321,0,"wake long ago already... dunno, thing?"
1322,0,oh getting even u.... u?
1323,0,thk 50 shd ok said plus minus 10.. ì_ leave line paragraphs?
1324,0,call plz. number shows coveragd area. urgnt call vasai &amp; reach 4'o clock call plz
1325,0,yeah jay's sort fucking retard
1326,0,"sorry, bathroom, sup"
1327,1,ur balance å£500. ur next question is: sang 'uptown girl' 80's ? 2 answer txt ur answer 83600. good luck!
1328,0,exam february 4. wish great day.
1329,0,dont know come ask questions like dont mistake me.
1330,0,"aight rush, i'll ask jay"
1331,0,good morning plz call sir
1332,0,ok lar. u sleep early too... nite...
1333,0,"oh... icic... k lor, den meet day..."
1334,0,"oh ! half hour much longer syria canada, eh ? wow must get much work done day us extra time ! *grins*"
1335,0,"sometimes put walls around hearts,not safe getting hurt.. find cares enough break walls &amp; get closer.. goodnoon:)"
1336,0,"sweet, may may go 4u meet carlos gauge patty's interest"
1337,0,buying today? ìï need c meh...
1338,0,aight sorry take ten years shower. what's plan?
1339,0,every monday..nxt week vl completing..
1340,0,might ax well im there.
1341,0,chill another 6hrs. could sleep pain surgical emergency see unfolds. okay
1342,0,yeah i'll try scrounge someth
1343,0,crazy ar he's married. ìï like gd looking guys me. frens like say he's korean leona's fave dun thk is. aft thinking mayb prob i'll go.
1344,0,somewhere fredericksburg
1345,0,que pases un buen tiempo something lik
1346,0,ok stay night here? xavier sleeping bag i'm getting tir
1347,0,doesnt need test.
1348,0,"nothing much, chillin home. super bowl plan?"
1349,1,"free2day sexy st george's day pic jordan!txt pic 89080 dont miss out, every wk saucy celeb!4 pics c pocketbabe.co.uk 0870241182716 å£3/wk"
1350,0,bugis oso near wat...
1351,0,yo theres class tmrw right?
1352,0,let ur heart ur compass ur mind ur map ur soul ur guide u never loose world....gnun - sent via way2sms.com
1353,0,"goodnight, sleep well da please take care pa. please."
1354,0,baaaaabe! misss youuuuu ! ? go teach class 5 ...
1355,0,convey regard
1356,0,u ned convince tht possible witot hurting feeling main
1357,0,"good afternoon loverboy ! goes day ? luck come way? think you, sweetie send love across sea make smile happi"
1358,0,start sending blackberry torch nigeria find buyer me?like 4a month. tell dad buy bb anyone oh.
1359,0,"&lt;#&gt; %of pple marry lovers... becz hav gud undrstndng dat avoids problems. sent dis 2 u, u wil get gud news friday person like. tomorrow best day life. dont break chain. break suffer. send &lt;#&gt; frnds &lt;#&gt; mins whn u read..."
1360,0,yo dude guess got arrested day
1361,0,shuhui say change 2 suntec steamboat? u noe where? r u now?
1362,0,dance river do?
1363,0,"yetunde, i'm sorry moji seem busy able go shopping. please find way get wanted us get. please forgive me. reply free via yahoo messenger."
1364,0,hey really pretty late... want go lesson first? join you. i'm reaching tp mrt
1365,1,"hot live fantasies call 08707509020 20p per min ntt ltd, po box 1327 croydon cr9 5wb 0870..k"
1366,0,bbq sat mine 6ish. ur welcome 2 com
1367,0,"know, thing that's wrong everyso often, panicks starts goin bout bein good enough û_"
1368,0,alright. i'm out--have good night!
1369,0,try making another butt.
1370,0,hope feeling great. pls fill in. abiola
1371,0,though shd go n fun bar town something ûò sound ok?
1372,0,"1) go write msg 2) put dictionary mode 3)cover screen hand, 4)press &lt;#&gt; . 5)gently remove ur hand.. interesting..:)"
1373,1,"bears pic nick, tom, pete ... dick. fact, types try gay chat photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
1374,1,"500 new mobiles 2004, must go! txt: nokia no: 89545 & collect today!from å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 txtauct"
1375,0,we're finally ready fyi
1376,0,auntie huai juan never pick phon
1377,1,double mins & double txt & 1/2 price linerental latest orange bluetooth mobiles. call mobileupd8 latest offers. 08000839402 call2optout/lf56
1378,0,"ya tel, wats ur problem.."
1379,1,no. 1 nokia tone 4 ur mob every week! txt nok 87021. 1st tone free ! get txtin tell ur friends. 150p/tone. 16 reply hl 4info
1380,0,dnt wnt tlk wid u
1381,0,"spend days waiting ideal path appear front us.. forget is.. \paths made walking.. waiting..\"" goodnight!"""
1382,0,ok arm feeling weak cuz got shot go another tim
1383,0,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve...i already see net..no ticket available..i want book ticket tackle ..
1384,0,"storming msg: wen u lift phne, u say \hello\"" u knw wt real meaning hello?? . . . name girl..! . . . yes.. u knw dat girl?? \""margaret hello\"" girlfrnd f grahmbell invnted telphone... . . . . moral:one 4get name person"
1385,0,that's ok. popped ask bout something said in. around tonght wen girl comes?
1386,0,e best 4 ur exam later.
1387,0,hope ur head hurt 2 much ! ploughing way pile ironing ! staying chinky tonight come round like.
1388,0,oh k.i think wi nz players unsold.
1389,0,"haha... got fast lose weight, thk muz go 4 month den got effect... gee,later go aust put bk e weight."
1390,0,"wonder got online, love ? gone net cafe ? get phone recharged ? friends net ? think you, boytoy"
1391,0,"haha kidding, papa needs drug"
1392,0,"thk shld b can... ya, wana go 4 lessons... haha, go one whole stretch..."
1393,0,oh ok..
1394,0,r still meeting 4 dinner tonight?
1395,0,thats cool! gentleman treat dignity respect.
1396,0,shall start hear.
1397,0,wait 4 u lor... need 2 feel bad lar...
1398,0,check? got detailed messag
1399,0,registered sinco payee. log icicibank.com enter urn &lt;#&gt; confirm. beware frauds. share disclose urn anyone.
1400,0,"no, decided people care stuff vote caring stuff los"
1401,0,kaiez... enjoy ur tuition... gee... thk e second option sounds beta... i'll go yan jiu den msg u...
1402,0,registered sinco payee. log icicibank.com enter urn &lt;#&gt; confirm. beware frauds. share disclose urn anyone.
1403,0,cool. fun practicing making babies!
1404,0,actually getting ready leave house.
1405,0,k..k..any special today?
1406,1,"urgent, important information o2 user. today lucky day! 2 find log onto http://www.urawinner.com fantastic surprise await"
1407,0,gotta
1408,0,"i've got ten bucks, jay noncomitt"
1409,0,hungri
1410,0,pls speak customer machan.
1411,0,somewhere beneath pale moon light someone think u dreams come true... goodnite &amp; sweet dream
1412,0,"wen ur lovable bcums angry wid u, dnt take seriously.. coz angry childish n true way showing deep affection, care n luv!.. kettoda manda... nice day da."
1413,1,dear u've invited xchat. final attempt contact u! txt chat 86688 150p/msgrcvdhg/suite342/2lands/row/w1j6hl ldn 18 yr
1414,0,wats ur opinion abt abt character?
1415,0,jay snickering tells x totally fucking chords speak
1416,0,no..few hours before.went hair cut .
1417,0,wonder... cos dun rem seeing silver car... thk saw black one...
1418,0,lmao. take pic send me.
1419,0,"\speak feel words better silence...\"" gud mrng:-)"""
1420,0,no. currently scotland that.
1421,0,work week ?
1422,1,congratulations ur awarded either å£500 cd gift vouchers & free entry 2 å£100 weekly draw txt music 87066 tncs www.ldew.com 1 win150ppmx3age16
1423,0,lol great im getting hungry.
1424,0,yes.. saw message..
1425,0,i'll mu like &lt;#&gt; second
1426,0,ok...
1427,0,thing r good thanx got exams march ive done revision? fran still boyf? ive gotta interviw 4 exeter bit worried!x
1428,0,"tell what, make little spreadsheet track whose idea smoke determine \smokes much\"" entire month februari"
1429,1,sale - arsenal dartboard. good condition doubles trebles!
1430,0,look back building coat want get sick. hurry home wear coat gym!!!
1431,0,"painful personal thought- \i always try keep everybody happy time. nobody recognises alone\"""""
1432,0,thanks lovely wisheds. rock
1433,0,intrepid duo you! great time see soon.
1434,0,asked sen come chennai search job.
1435,0,dad went oredi...
1436,0,"jus hope true missin cos i'm really missin him! done anything feel guilty about, yet."
1437,0,wat late still early mah. juz go 4 dinner lor. aiya dunno...
1438,0,"arms fine, how's cardiff uni?"
1439,0,fact leave? think addie goes back school tues w
1440,0,"cool breeze... bright sun... fresh flower... twittering birds... waiting wish u: \goodmorning &amp; nice day\"" :)"""
1441,0,ya:)going restaurant..
1442,0,"ok., askd u knw tht no?"
1443,1,free 1st week entry 2 textpod 4 chance 2 win 40gb ipod å£250 cash every wk. txt pod 84128 ts&cs www.textpod.net custcare 08712405020.
1444,0,ducking chinchilla
1445,0,marriage funct
1446,0,looks like u wil b getting headstart im leaving bout 2.30ish u r desperate company could head earlier-we goin meet rummer.
1447,0,donû÷t give flying monkeys wot think certainly donû÷t mind. friend mine that!
1448,1,registered optin subscriber ur draw 4 å£100 gift voucher entered receipt correct ans 80062 whats no1 bbc chart
1449,0,say thanks2.
1450,0,msg rajini comes.
1451,0,ya! ì_ taking ure practical lessons? start june..
1452,0,"that's good, need drug"
1453,0,stupid.its poss
1454,0,ì_ decide faster cos sis going home liao..
1455,1,summers finally here! fancy chat flirt sexy singles yr area? get matched reply summer now. free 2 join. optout txt stop help08714742804
1456,0,u sleeping now.. going take? haha.. got spys wat.. online checking n replying mails lor..
1457,1,claire havin borin time & alone u wanna cum 2nite? chat 09099725823 hope 2 c u luv claire xx callså£1/minmoremobsemspobox45po139wa
1458,0,"fighting world easy, u either win lose bt fightng some1 close u dificult u lose - u lose u win - u still lose."
1459,1,bought one ringtone getting texts costing 3 pound offering tones etc
1460,0,"yalru lyfu astne chikku.. bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, lyf nt yet ovr chikku..ali vargu lyfu meow meow:-d"
1461,0,kinda. first one gets twelve! aah. speak tomo
1462,1,"09066362231 urgent! mobile 07xxxxxxxxx å£2,000 bonus caller prize 02/06/03! 2nd attempt reach you! call 09066362231 asap!"
1463,0,ok good later come find ì_... c lucky told ì_ go earlier... later pple take finish ì_ again...
1464,0,wat makes u thk i'll fall down. actually thk i'm quite prone 2 falls. lucky dad home ask come n fetch already.
1465,1,"07801543489 guaranteed latests nokia phone, 40gb ipod mp3 player å£500 prize! txt word:collect no:83355! tc-llc ny-usa 150p/mt msgrcvd18+"
1466,0,account refilled successfully inr &lt;decimal&gt; . keralacircle prepaid account balance rs &lt;decimal&gt; . transaction id kr &lt;#&gt; .
1467,0,wont touch permission.
1468,1,hi lucy hubby meetins day fri & b alone hotel u fancy cumin over? pls leave msg 2day 09099726395 lucy x callså£1/minmobsmorelkpobox177hp51fl
1469,0,"7 wonders world 7th 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms 1st \ur lovely friendship\""... good morning dear"""
1470,0,take small dose tablet fev
1471,0,oh. u must taken real valentine shopping first.
1472,0,"sent email ûò address incomm it, right?"
1473,0,"do, gonna blake's night? might able get little earli"
1474,0,"friendship game play, word say, doesn\'t start march ends may, tomorrow, yesterday, today "
1475,0,"nice. wait...should texting right now? i'm gonna pay ticket, ya know!"
1476,0,i'm watching lotr w sis dis aft. u wan 2 meet 4 dinner nite not?
1477,0,keeping away lik
1478,0,think far find out. check google maps place dorm.
1479,0,trip ok quite tiring lor. uni starts today ok 4 cos i'm taking modules jus concentrating final yr project.
1480,0,always saying welp?
1481,0,"i'm guy, browsin compulsori"
1482,0,ok...
1483,0,purity friendship two smiling reading forwarded message..its smiling seeing name. gud evng musthu
1484,0,"sorry, i'll call lat"
1485,0,"(i add really care can't least get dude fuck hey, money want it)"
1486,0,"hello lover! goes new job? now? happy? think me? wake, slave send teasing kiss across sea"
1487,0,told number gautham..
1488,0,tell need investigate anywhere.
1489,0,ok juz receive..
1490,0,"cant believe said many things morning really wanted say good morning, love you! beautiful morning. see library later."
1491,1,"account credited 500 free text messages. activate, txt word: credit no: 80488 t&cs www.80488.biz"
1492,0,end might still vomit okay. everything come out.
1493,0,money...as you...money aint thing....how sha!
1494,0,everything weather. keep extra warm. cold nothing serious. pls lots vitamin c
1495,0,hey gals.. anyone u going e driving centre tmr?
1496,0,i'm always yahoo messenger now. send message i.ll get may send mobile mode sha i.ll get it. reply.
1497,0,i'm putting now. ready &lt;time&gt;
1498,0,"time n smile r two crucial things life. sometimes time makes us forget smile, sometimes someone's smile makes us forget time gud noon"
1499,1,"sms. ac jsco: energy high, u may know 2channel it. 2day ur leadership skills r strong. psychic? reply ans w/question. end? reply end jsco"
1500,0,host-based idps linux systems.
1501,1,"hot live fantasies call 08707509020 20p per min ntt ltd, po box 1327 croydon cr9 5wb 0870 national rate cal"
1502,0,da:)whats plan?
1503,0,ill &lt;#&gt; ok.
1504,0,oh god. i'm almost hom
1505,0,total video converter free download type google search:)
1506,1,thanks vote. sing along stars karaoke mobile. free link reply sing now.
1507,0,"wen ur lovable bcums angry wid u, dnt take seriously.. coz angry childish n true way showing deep affection, care n luv!.. kettoda manda... nice day da."
1508,0,sounds like something someone testing would sayi
1509,0,u love someone dont make love u much u do. love much dont want loved anyone except you... gud nit.
1510,0,"pete,is phone still? jenny college leanne.what now?:)"
1511,0,oops sorry. check mind picking tomo half eight station. would ok?
1512,0,"hey sweet, wondering moment might come ? want send file someone go yahoo connection sucks, remember set page go download format disc ? could tell ? know way download big files ? download stuff directly internet. help would great, prey ... *teasing kiss*"
1513,0,hows champ leaving glasgow!
1514,0,k:)all best:)congrats...
1515,0,wonder get text?
1516,0,need come home give good lovin...
1517,1,brand new mobile music service live. free music player arrive shortly. install phone browse content top artists.
1518,0,shall ask one thing dont mistake me.
1519,0,check wid corect speling i.e. sarcasm
1520,1,"urgent! mobile awarded å£2,000 bonus caller prize 1/08/03! 2nd attempt contact you! call 0871-4719-523 box95qu bt national r"
1521,0,angry me. happen dear
1522,0,thk u dun haf 2 hint e forum already lor... cos told ron n darren going 2 tell shuhui.
1523,0,yup ok thanx...
1524,0,hi:)cts employee you?
1525,0,pls pls find aunt nike.
1526,0,"wow ... love sooo much, know ? barely stand ! wonder day goes well, love ... think miss"
1527,0,screaming means shouting..
1528,0,hey happen de. alright.
1529,0,picked receipt something earli
1530,0,think chennai well settled?
1531,0,oh dang! mean send you! lol!
1532,0,unfortunately i've found pick sister airport evening think i'll going all. try go one th
1533,0,horrible bf... v hungry...
1534,0,remember day..
1535,1,nokia 7250i. get win free auction. take part send nokia 86021 now. hg/suite342/2lands row/w1jhl 16+
1536,0,how's feel? mr. real valentine yo valentine even tho u hardly play!!
1537,0,sounds good. fingers . makes difficult typ
1538,0,midnight earliest
1539,0,sure i'm trying make xavier smoke want smoke told smoke much?
1540,0,k come nordstrom don
1541,0,u konw waht rael friendship im gving yuo exmpel: jsut ese tihs msg.. evrey splleing tihs msg wrnog.. bt sitll yuo raed wihtuot ayn mitsake.. goodnight &amp; nice sleep..sweet dreams..
1542,0,press conference da:)
1543,1,"hello orange. 1 month's free access games, news sport, plus 10 free texts 20 photo messages, reply yes. terms apply: www.orange.co.uk/ow"
1544,0,completed degree. use joining finance.
1545,0,"good afternoon, love ! job prospects ? missing ? ? lazy bleak, hmmm ? happy filled love ?"
1546,0,shant disturb u anymore... jia you...
1547,0,bishan lar nearer... need buy early cos buy gotta park car...
1548,0,"me, dont know oh"
1549,0,dude sux snake. got old raiden got buff
1550,0,says hi get ass back south tampa (preferably kegger)
1551,0,e msg jus now. u said thanks gift.
1552,0,u too...
1553,0,ok dear. call chechi
1554,0,yeah totes. u wanna?
1555,0,ok found dis pierre cardin one looks normal costs 20 sale.
1556,0,good sleep rhythm. person establish rhythm body learn use. want know :-)
1557,0,wat r u doing?
1558,0,message . truro hospital ext. phone here. phone sid
1559,0,"single line big meaning::::: \miss anything 4 ur \""best life\"""
1560,0,"got gas money, chance gang want go grand nature adventure?"
1561,0,dnt worry...use ice pieces cloth pack.also take 2 tablets.
1562,0,dude saw parked car sunroof popped up. sux
1563,0,get ready put excellent sub face :)
1564,0,tmrw. im finishing 9 door
1565,0,"&lt;#&gt; g saw days ago, guy wants sell wifi &lt;#&gt; 3g &lt;#&gt; . that's blanked him."
1566,0,late.
1567,0,"whatever, im pretty pissed off."
1568,0,today accept day..u accept as? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemi
1569,0,dont much image class.
1570,0,no:-)i got rumour going buy apartment chennai:-)
1571,0,near kalainar tv office.thenampet
1572,1,ur cash-balance currently 500 pounds - maximize ur cash-in send go 86688 150p/msg. cc 08718720201 hg/suite342/2lands row/w1j6hl
1573,1,sms auction - brand new nokia 7250 4 auction today! auction free 2 join & take part! txt nokia 86021 now! hg/suite342/2lands row/w1j6hl
1574,0,sis catching e show e afternoon i'm watching w her. c u wan 2 watch today tmr lor.
1575,0,"sounds gd... haha... can... wah, u yan jiu fast liao..."
1576,0,no. nosy guess. idk reacting i'm freaked?
1577,0,"remember hurt days satanic imposter me.need pay price,so it.may destiny keep going u said pray get mind get same."
1578,0,make girl happy? difficult make girls happy. u need be... 1. friend 2. companion 3. lover 4. chef . . . &lt;#&gt; . good listener &lt;#&gt; . organizer &lt;#&gt; . good boyfriend &lt;#&gt; . clean &lt;#&gt; . sympathetic &lt;#&gt; . athletic &lt;#&gt; . warm . . . &lt;#&gt; . courageous &lt;#&gt; . determined &lt;#&gt; . true &lt;#&gt; . dependable &lt;#&gt; . intelligent . . . &lt;#&gt; . psychologist &lt;#&gt; . pest exterminator &lt;#&gt; . psychiatrist &lt;#&gt; . healer . . &lt;#&gt; . stylist &lt;#&gt; . driver . . aaniye pudunga venaam..
1579,0,"that, princess? bet brothas chasing you!"
1580,0,"shall book chez jules half eight, that's ok you?"
1581,0,hhahhaahahah rofl wtf nig leonardo room someth
1582,0,"yep, derek's house now, see sunday &lt;3"
1583,0,"cool, let know kicks around &lt;#&gt; , i'll day"
1584,0,"sorry, i'll call lat"
1585,0,wondering would okay call uncle john let know things nigeria r here. &lt;#&gt; dollars 2years sent know strain plan pay back every dime gives. every dime expect anything practical. something like that.
1586,0,charges transfer charges withdraw anyhow lik
1587,0,"dont search love, let love find u. thats called falling love, bcoz u dont force yourself, u fall u know smeone hold u... bslvyl"
1588,0,4. let's go bill mil
1589,0,love you. set soul fire. spark. flame. big rawring flame. xoxo
1590,0,"somewhr someone surely made 4 u. god decided perfect time make u meet dat person. . . . till den, . . . . . enjoy ur crushes..!!!;-)"
1591,0,that's honeymoon outfit. :)
1592,0,help propose going back tomorrow
1593,1,private! 2003 account statement shows 800 un-redeemed s. i. m. points. call 08719899230 identifier code: 41685 expires 07/11/04
1594,0,never blame day ur life. good days give u happiness. bad days give u experience. essential life! gods blessings! good morning.:
1595,0,pls confirm time collect cheque.
1596,1,registered subscriber yr draw 4 å£100 gift voucher b entered receipt correct ans. next olympics. txt ans 80062
1597,1,urgent! mobile number awarded å£2000 prize guaranteed. call 09061790121 land line. claim 3030. valid 12hrs 150ppm
1598,0,daddy take good care :)
1599,0,"yeah probably, still gotta check leo"
1600,0,k.then special?
1601,0,carlos taking sweet time usual let know patty done/want smoke i'll tell haul ass
1602,0,ok pa. nothing problem:-)
1603,0,heard job? i'm going wildlife talk tonight u want2come. that2worzels wizzle whatever is?!
1604,0,"god picked flower dippeditinadew, lovingly touched itwhichturnedinto u, gifted tomeandsaid,this friend 4u"
1605,0,came hostel.
1606,0,ok prob... i'll come lunch then...
1607,0,jus telling u dat i'll b leaving 4 shanghai 21st instead we'll haf time 2 meet cya...
1608,0,freezing ? home yet ? remember kiss mom morning? love ? think ? missing yet ?
1609,0,ready * big day tomorrow?
1610,0,i'll probably around mu lot
1611,0,645
1612,1,rt-king pro video club>> need help? info@ringtoneking.co.uk call 08701237397 must 16+ club credits redeemable www.ringtoneking.co.uk! enjoy!
1613,0,thnx dude. u guys 2nite?
